gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_MAIN_ID,s_class,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[CHP2004] J095637.5+694137',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095601.7+694308',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095548.9+694010',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095527.1+693923',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095552.8+694020',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095552.4+694024',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.7+694039',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095547.5+694120',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095527.2+694050',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095600.7+694107',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
